"yr","site","nin.phase.strt","nin.str.strt","nin.phase.end","nin.str.end","mean.NDVI.win","mean.NDVI.spr","mean.NDVI.sum","mean.NDVI.fall","mean.NDVI.year"
2003,"scrub","no_event","no_event","nino","mod",0.34985,0.422516666666667,0.486866666666667,0.538116666666667,0.4493375
2004,"broadleaf","nino","wk","no_event","no_event",0.705483333333333,0.689833333333333,NA,NA,NA
2004,"Lloyd","nino","wk","no_event","no_event",0.671,0.62935,NA,NA,NA
2004,"scrub","nino","wk","no_event","no_event",0.434116666666667,0.411733333333333,NA,NA,NA
2005,"broadleaf","no_event","no_event","nino","wk",0.675216666666667,0.709033333333333,0.719033333333333,0.82595,0.732308333333333
2005,"Lloyd","no_event","no_event","nino","wk",0.633966666666667,0.624416666666667,0.65205,0.65475,0.641295833333333
2005,"scrub","no_event","no_event","nino","wk",0.432716666666667,0.452783333333333,0.479416666666667,0.541966666666667,0.476720833333333
2006,"broadleaf","nino","wk","no_event","no_event",0.686616666666667,0.736466666666667,0.70645,0.806983333333333,0.734129166666667
2006,"Lloyd","nino","wk","no_event","no_event",0.65935,0.619283333333333,0.664816666666667,0.682416666666667,0.656466666666667
2006,"scrub","nino","wk","no_event","no_event",0.471933333333333,0.51035,0.51265,0.570116666666667,0.5162625
2007,"broadleaf","nina","mod","nino","wk",0.728583333333333,0.754383333333333,0.670533333333333,0.780033333333333,0.733383333333333
2007,"Lloyd","nina","mod","nino","wk",0.695083333333333,0.668566666666667,0.67255,0.678533333333333,0.678683333333333
2007,"scrub","nina","mod","nino","wk",0.480583333333333,0.43555,0.407433333333333,0.57455,0.474529166666667
2008,"broadleaf","no_event","no_event","nina","mod",0.7172,0.742566666666667,0.726716666666667,0.804333333333333,0.747704166666667
2008,"Lloyd","no_event","no_event","nina","mod",0.7012,0.647333333333333,0.674033333333333,0.709366666666667,0.682983333333333
2008,"scrub","no_event","no_event","nina","mod",0.515483333333333,0.482216666666667,0.471866666666667,0.579366666666667,0.512233333333333
2009,"broadleaf","nino","mod","no_event","no_event",0.694466666666667,0.629216666666667,0.704883333333333,0.752033333333333,0.69515
2009,"Lloyd","nino","mod","no_event","no_event",0.7066,0.658733333333333,0.706166666666667,0.709633333333333,0.695283333333333
2009,"scrub","nino","mod","no_event","no_event",0.48045,0.40215,0.43305,0.49565,0.452825
2010,"broadleaf","nina","mod","nino","mod",0.668716666666667,0.751466666666667,0.782766666666667,0.7925,0.7488625
2010,"Lloyd","nina","mod","nino","mod",0.66125,0.6917,0.69285,0.692233333333333,0.684508333333333
2010,"scrub","nina","mod","nino","mod",0.439183333333333,0.432733333333333,0.5571,0.5893,0.504579166666667
2011,"broadleaf","nina","wk","nina","mod",0.72545,0.714683333333333,0.788333333333333,0.738216666666667,0.741670833333333
2011,"Lloyd","nina","wk","nina","mod",0.712816666666667,0.682766666666667,0.687116666666667,0.6947,0.69435
2011,"scrub","nina","wk","nina","mod",0.4811,0.50325,0.571333333333333,0.550633333333333,0.526579166666667
2012,"broadleaf","no_event","no_event","nina","wk",0.68735,0.69815,0.724416666666667,0.771183333333333,0.720275
2012,"Lloyd","no_event","no_event","nina","wk",0.709383333333333,0.662233333333333,0.6935,0.705033333333333,0.6925375
2012,"scrub","no_event","no_event","nina","wk",0.48345,0.504883333333333,0.527566666666667,0.56015,0.5190125
2013,"broadleaf","no_event","no_event","no_event","no_event",0.663566666666667,0.6233,0.72625,0.77395,0.696766666666667
2013,"Lloyd","no_event","no_event","no_event","no_event",0.674866666666667,0.630116666666667,0.682616666666667,0.703433333333333,0.672758333333333
2013,"scrub","no_event","no_event","no_event","no_event",0.47425,0.371083333333333,0.4969,0.54385,0.471520833333333
2014,"broadleaf","no_event","no_event","no_event","no_event",0.612316666666667,0.627433333333333,0.736933333333333,0.733666666666667,0.6775875
2014,"Lloyd","no_event","no_event","no_event","no_event",0.678566666666667,0.642116666666667,0.689033333333333,0.682766666666667,0.673120833333333
2014,"scrub","no_event","no_event","no_event","no_event",0.414733333333333,0.426516666666667,0.5378,0.545983333333333,0.481258333333333
2015,"broadleaf","nino","vry.str","no_event","no_event",0.668633333333333,0.524433333333333,0.555516666666667,0.744633333333333,0.623304166666667
2015,"Lloyd","nino","vry.str","no_event","no_event",0.688066666666667,0.667716666666667,0.642716666666667,0.701116666666667,0.674904166666667
2015,"scrub","nino","vry.str","no_event","no_event",0.49295,0.3451,0.369433333333333,0.517566666666667,0.4312625
